method,platform,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,run_id,latency_ms,recall,index_size_mb,build_time_sec,coarse_ms,rerank_ms,cycles,instructions,cpi,l1_miss_rate,llc_miss_rate
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,5,7.889000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,1,7.414000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,2,6.951000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,3,7.507000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,4,7.669000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,5,7.649000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,1,7.515000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,2,7.478000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,3,7.502000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,4,7.178000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,5,7.423000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,4,heap,1,7.365000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,4,heap,2,6.707000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,4,heap,3,7.041000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,4,heap,4,6.845000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,4,heap,5,7.431000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d8,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,8,heap,1,7.361000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d8,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,8,heap,2,7.047000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d8,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,8,heap,3,7.107000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d8,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,8,heap,4,7.079000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d8,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,8,heap,5,7.129000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
