kernel,Q,repeat,latency_ms,recall,cycles,instructions,cycles_per_query,instructions_per_query,ipc,branch_misses_per_query,l1_miss_rate,llc_miss_rate,arithmetic_intensity,effective_gops,effective_bandwidth_gbs
flat-neon,2000,3,9.398667,0.99995,144584764253.0,127461585038.0,24097460.708833333,21243597.506333333,0.8815699613754794,8827.593,0.026810349313990622,0.4011119874389536,0.5,2.0428428839962094,4.085685767992419
pq-m16-p2000,2000,3,4.340333,0.99995,77046106330.0,129963530397.0,12841017.721666666,21660588.3995,1.6868280123118327,91725.9895,0.005991763665813306,0.1715766082004674,0.8526948679407343,0.4684322608426588,0.5493550840453947
pqsel-m16-p2000,2000,3,3.584,0.99995,65102424665.0,115568926108.0,10850404.110833334,19261487.684666667,1.7751862039346058,84912.70933333333,0.00839671163620972,0.19667241674786395,0.8526948679407343,0.5672857142857143,0.6652857142857143
fsadc-m16-p1500-b64,2000,3,3.124333,0.99995,58317203413.0,125026307050.0,9719533.902166666,20837717.841666665,2.143900937165469,81930.87233333333,0.005954438153445446,0.2091450515603204,0.8835824381130313,0.6200209772773901,0.7017126535487734
