method,family,M,p,unroll,prefetch,block,topk,latency_ms,recall,encode_ms,lut_ms,scan_ms,select_ms,rerank_ms,build_time_sec,index_size_mb
PQ-SDC-M8-p2000,sdc,8,2000,1,0,0,nth-rerank,1.593714,0.921000,0.013110,0.000000,0.498060,0.774910,0.305440,1.541787,0.898304
PQ-SDC-M8-p2000,sdc,8,2000,1,0,0,nth-rerank,1.887300,0.921000,0.015710,0.000000,0.594690,0.939390,0.334790,1.455371,0.898304
PQ-SDC-M8-p2000,sdc,8,2000,1,0,0,nth-rerank,1.843840,0.921000,0.014560,0.000000,0.574520,0.924340,0.327140,1.487165,0.898304
PQ-SDC-M8-p5000,sdc,8,5000,1,0,0,nth-rerank,2.135363,0.969000,0.012530,0.000000,0.539100,0.847700,0.733810,1.599637,0.898304
PQ-SDC-M8-p5000,sdc,8,5000,1,0,0,nth-rerank,2.119085,0.969000,0.014050,0.000000,0.522740,0.838510,0.740680,1.507294,0.898304
PQ-SDC-M8-p5000,sdc,8,5000,1,0,0,nth-rerank,2.189697,0.969000,0.012780,0.000000,0.548500,0.876190,0.748480,1.487021,0.898304
PQ-SDC-M12-coarse,sdc,12,0,1,0,0,coarse-only,2.668644,0.231000,0.022980,0.000000,1.246530,1.388870,0.000000,1.742954,1.298304
PQ-SDC-M12-coarse,sdc,12,0,1,0,0,coarse-only,2.595100,0.231000,0.025110,0.000000,1.214440,1.347750,0.000000,1.715413,1.298304
PQ-SDC-M12-coarse,sdc,12,0,1,0,0,coarse-only,2.022464,0.231000,0.017560,0.000000,0.944920,1.053430,0.000000,1.768813,1.298304
PQ-SDC-M12-p100,sdc,12,100,1,0,0,nth-rerank,5.059177,0.634000,0.047460,0.000000,2.548990,2.379650,0.071120,6.227963,1.298304
PQ-SDC-M12-p100,sdc,12,100,1,0,0,nth-rerank,5.460953,0.634000,0.049500,0.000000,2.724840,2.616340,0.063240,6.210296,1.298304
PQ-SDC-M12-p100,sdc,12,100,1,0,0,nth-rerank,1.422644,0.634000,0.012000,0.000000,0.649950,0.733690,0.025130,2.947419,1.298304
PQ-SDC-M12-p500,sdc,12,500,1,0,0,nth-rerank,2.298525,0.912000,0.020100,0.000000,1.012600,1.130610,0.129760,1.851682,1.298304
PQ-SDC-M12-p500,sdc,12,500,1,0,0,nth-rerank,2.257938,0.912000,0.021940,0.000000,1.001160,1.108290,0.123390,1.895406,1.298304
PQ-SDC-M12-p500,sdc,12,500,1,0,0,nth-rerank,2.312584,0.912000,0.019910,0.000000,1.035250,1.133670,0.119260,1.946126,1.298304
PQ-SDC-M12-p1000,sdc,12,1000,1,0,0,nth-rerank,5.114631,0.960000,0.043260,0.000000,2.384570,2.234340,0.442890,6.014675,1.298304
PQ-SDC-M12-p1000,sdc,12,1000,1,0,0,nth-rerank,5.175502,0.960000,0.044370,0.000000,2.425930,2.229300,0.469370,6.196068,1.298304
PQ-SDC-M12-p1000,sdc,12,1000,1,0,0,nth-rerank,5.693062,0.960000,0.047050,0.000000,2.657930,2.492140,0.485240,6.274852,1.298304
PQ-SDC-M12-p2000,sdc,12,2000,1,0,0,nth-rerank,7.261368,0.991000,0.055130,0.000000,3.143570,2.967150,1.082370,6.980490,1.298304
PQ-SDC-M12-p2000,sdc,12,2000,1,0,0,nth-rerank,5.814546,0.991000,0.047780,0.000000,2.501960,2.324330,0.931680,6.891531,1.298304
PQ-SDC-M12-p2000,sdc,12,2000,1,0,0,nth-rerank,5.749603,0.991000,0.053460,0.000000,2.424110,2.391450,0.868990,6.319317,1.298304
PQ-SDC-M12-p5000,sdc,12,5000,1,0,0,nth-rerank,3.234985,0.997000,0.021310,0.000000,1.068030,1.227600,0.911110,1.249773,1.298304
PQ-SDC-M12-p5000,sdc,12,5000,1,0,0,nth-rerank,2.391350,0.997000,0.017330,0.000000,0.766160,0.852160,0.751820,1.434568,1.298304
PQ-SDC-M12-p5000,sdc,12,5000,1,0,0,nth-rerank,1.958743,0.997000,0.012650,0.000000,0.593200,0.665170,0.683750,1.372323,1.298304
