experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.87823,1,3.61529,0,0.015917,0,0,651.813,226.417,0,"tune2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=64; query_block=8; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.744747,1,4.26327,0,0.016821,0,0,529.613,215.133,0,"tune2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=64; query_block=16; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.767453,1,4.13713,0,0.030093,0,0,627.567,139.887,0,"tune2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=8; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.5859,1,5.4191,0,0.01498,0,0,495.123,90.7767,0,"tune2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=16; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.588593,1,5.39431,0,0.016847,0,0,500.107,88.4867,0,"tune3; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=16; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.91319,1,3.47688,0,0.015874,0,0,754.413,158.777,0,"tune3; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=32; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.646433,1,4.91165,0,0.016538,0,0,521.36,125.073,0,"tune3; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=256; query_block=16; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.88025,1,3.60699,0,0.015568,0,0,774.157,106.093,0,"tune3; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=256; query_block=32; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.703167,1,4.51536,0,0.015973,0,0,621.617,81.55,0,"tune_transposed; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=64; query_block=8; query_layout=dim_major; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.784467,1,4.0474,0,0.02825,0,0,528.31,256.157,0,"tune_transposed; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=64; query_block=16; query_layout=dim_major; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.70091,1,4.5299,0,0.023462,0,0,621.93,78.98,0,"tune_transposed; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=8; query_layout=dim_major; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.587133,1,5.40772,0,0.022716,0,0,508.453,78.68,0,"tune_transposed; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=16; query_layout=dim_major; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.69137,1,4.59241,0,0.016827,0,0,615.967,75.4033,0,"tune_transposed; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=256; query_block=8; query_layout=dim_major; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.66302,1,4.78877,0,0.016067,0,0,514.33,148.69,0,"tune_transposed; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=256; query_block=16; query_layout=dim_major; warmup_excluded=1; usm_device=1"
