experiment,method,device,nbase,nq,dim,k,batch,nlist,nprobe,iters,repeat,build_ms,candidate_ms,compute_ms,topk_ms,total_ms,latency_ms,recall@100,avg_candidates,scored_pairs,waste_ratio,notes
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,22,3,3,2093.945100,36.028200,26.256768,32.541400,129.050700,0.129051,0.956850,11522.933000,18407784.000000,1.597491,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,256,256,22,3,3,1757.568200,43.354600,26.606848,37.625700,147.247800,0.147248,0.956850,11522.933000,18728040.000000,1.625284,full
GPU-ANN,cuda_ivf_cluster,NVIDIA GeForce RTX 4060 Laptop GPU,100000,300,96,100,128,256,16,3,1,2379.758900,2.043600,76.330080,11.747900,143.588000,0.478627,0.929400,8627.273333,29306672.000000,11.323266,full
GPU-ANN,cuda_ivf_cluster,NVIDIA GeForce RTX 4060 Laptop GPU,100000,300,96,100,128,256,22,3,1,1622.312700,2.202400,79.058912,11.868100,154.051700,0.513506,0.951300,11268.046667,29690560.000000,8.783114,full
GPU-ANN,cuda_ivf_cluster,NVIDIA GeForce RTX 4060 Laptop GPU,100000,300,96,100,128,256,32,3,1,1918.279500,2.522800,80.814176,22.274100,204.072800,0.680243,0.970800,15476.460000,29835132.000000,6.425917,full
GPU-ANN,cuda_ivf_cluster_grouped,NVIDIA GeForce RTX 4060 Laptop GPU,100000,300,96,100,128,256,16,3,1,2013.066800,2.360800,77.104000,11.167200,147.115800,0.490386,0.929400,8627.273333,29405724.000000,11.361536,full
GPU-ANN,cuda_ivf_cluster_grouped,NVIDIA GeForce RTX 4060 Laptop GPU,100000,300,96,100,128,256,22,3,1,1931.847900,3.269800,79.035872,12.459200,152.665900,0.508886,0.951300,11268.046667,29698368.000000,8.785423,full
GPU-ANN,cuda_ivf_cluster_grouped,NVIDIA GeForce RTX 4060 Laptop GPU,100000,300,96,100,128,256,32,3,1,1640.383900,2.350700,78.545920,13.443900,156.386700,0.521289,0.970800,15476.460000,29890896.000000,6.437927,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,22,3,5,1798.121000,41.817000,26.235424,40.968100,145.194100,0.145194,0.956850,11522.933000,18407784.000000,1.597491,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,32,256,20,3,3,1601.100100,31.751800,26.114784,30.479900,122.166900,0.122167,0.951020,10613.428000,16527912.000000,1.557264,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,64,256,20,3,3,1581.375000,35.558200,24.706336,33.843100,127.795700,0.127796,0.951020,10613.428000,17059480.000000,1.607349,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,20,3,3,2215.995900,39.648300,24.639168,39.106400,142.946600,0.142947,0.951020,10613.428000,17303384.000000,1.630329,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,256,256,20,3,3,2176.108300,37.667200,24.524384,36.479100,134.246500,0.134246,0.951020,10613.428000,17732952.000000,1.670803,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,20,3,5,2072.873200,38.574200,24.274688,31.850800,128.151500,0.128151,0.951020,10613.428000,17303384.000000,1.630329,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,32,256,20,3,5,2055.511600,31.109000,25.823968,29.677400,120.147600,0.120148,0.951020,10613.428000,16527912.000000,1.557264,full
