experiment,method,kernel,platform,mpi_size,nodes,ppn,nthreads,thread_model,comm,nbase,nq,k,nlist,nprobe,ef,latency_ms,recall@100,build_sec,distribute_ms,search_ms,comm_ms,merge_ms,total_ms,work_imbalance,mpi_thread_required,mpi_thread_provided,notes
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,32,64,0.368307,0.480933,2.107982,48.976898,103.390932,11.228800,6.924391,110.492229,1.022726,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,64,64,0.606786,0.494900,2.264663,47.222853,174.985886,27.405024,6.850004,182.035685,1.013086,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,flat,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,512,64,0.694184,0.502733,0.000003,59.976339,199.110508,34.794569,8.266211,208.255053,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,16,64,0.133217,0.456167,1.053782,45.287371,31.349659,4.163027,8.230925,39.965153,1.010577,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,32,64,0.206402,0.482800,1.048619,58.361769,52.588940,12.703896,8.365870,61.920643,1.027334,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,64,64,0.307580,0.495333,1.060649,44.630289,82.436800,18.786430,8.764267,92.273951,1.015314,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,flat,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,300,100,512,512,64,3.014331,0.502733,0.000001,52.574873,898.092270,0.210047,5.996466,904.299259,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,300,100,512,16,64,0.502012,0.450567,4.236154,67.808390,144.351006,0.230074,6.021023,150.603533,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,300,100,512,32,64,0.712887,0.478400,4.239653,61.441660,207.645416,0.142097,6.077528,213.865995,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,300,100,512,64,64,1.303569,0.493700,4.263932,69.104433,384.728909,0.227213,6.114244,391.070843,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,flat,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,512,64,1.317047,0.502733,0.000003,47.672510,388.089895,8.811951,6.865025,395.114183,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,16,64,0.237925,0.452300,2.106286,62.983513,63.961983,5.941868,6.905317,71.377516,1.020126,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,32,64,0.362427,0.480933,2.103374,61.031818,101.713657,2.774477,6.822586,108.728170,1.022726,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,64,64,0.583126,0.494900,2.120466,61.078072,167.591333,12.317896,6.872654,174.937725,1.013086,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,flat,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,512,64,0.599330,0.502733,0.000003,60.373545,170.530081,6.072283,8.364439,179.799080,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,16,64,0.140686,0.456167,1.053054,60.878992,32.990694,6.179333,8.341312,42.205811,1.010577,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;quick
