experiment,method,kernel,platform,mpi_size,nodes,ppn,nthreads,thread_model,comm,nbase,nq,k,nlist,nprobe,ef,latency_ms,recall@100,build_sec,distribute_ms,search_ms,comm_ms,merge_ms,total_ms,work_imbalance,mpi_thread_required,mpi_thread_provided,notes
MPI-ANN,flat,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,25000,1000,100,512,512,64,0.066313,0.255160,0.000000,33.876100,46.212800,5.036300,19.053200,66.312800,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,25000,1000,100,512,16,64,0.035394,0.240860,0.078688,35.813200,14.498800,2.485500,19.847700,35.394100,1.029787,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,25000,1000,100,512,32,64,0.038515,0.250260,0.076895,35.775100,18.430400,3.529300,18.997100,38.515300,1.018106,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,25000,1000,100,512,64,64,0.041997,0.254000,0.071370,34.631500,21.631500,3.677900,19.061200,41.997200,1.021477,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,25000,1000,100,512,128,64,0.048850,0.255000,0.077078,35.511900,27.828700,5.785900,19.084200,48.849600,1.020437,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,25000,1000,100,512,256,64,0.057857,0.255160,0.063300,84.253000,38.527800,6.745700,18.452200,57.857300,1.018030,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,flat,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,1000,100,512,512,64,0.561254,0.501010,0.000000,36.083200,534.186300,0.185600,26.882100,561.254300,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,1000,100,512,16,64,0.135183,0.457170,1.583768,40.645300,99.192100,0.396500,35.594600,135.183500,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,1000,100,512,32,64,0.156741,0.481180,1.164666,39.384800,119.008700,0.361200,37.370300,156.740500,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,1000,100,512,64,64,0.237136,0.493740,1.372772,70.456700,198.073900,0.404200,38.657100,237.135600,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,1000,100,512,128,64,0.315373,0.499250,1.289342,57.202800,290.124000,0.279100,24.969000,315.372500,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,1000,100,512,256,64,0.584543,0.500830,1.048251,51.677600,567.766800,0.321300,16.454000,584.542500,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,flat,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,1000,100,512,512,64,0.233408,0.501010,0.000000,35.412200,218.303900,7.927400,14.898600,233.408100,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,1000,100,512,16,64,0.046425,0.458190,0.440164,36.797900,31.874400,2.106500,14.245500,46.424900,1.027974,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,1000,100,512,32,64,0.058979,0.482320,0.433800,40.055700,44.365600,1.742400,14.328600,58.978500,1.027718,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,1000,100,512,64,64,0.080333,0.494800,0.438866,37.393800,65.301000,1.004900,14.667400,80.332800,1.020141,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,1000,100,512,128,64,0.114218,0.499450,0.447587,39.072500,99.757700,0.600400,13.914800,114.217600,1.012166,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,1000,100,512,256,64,0.184002,0.500870,0.446917,38.251100,169.303600,2.032500,14.116100,184.002300,1.000732,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,flat,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,1000,100,512,512,64,0.137002,0.501010,0.000000,34.327800,119.566700,4.049300,16.955400,137.001600,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,1000,100,512,16,64,0.038393,0.460160,0.234491,35.539100,21.984900,1.484200,16.104200,38.392700,1.027996,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,1000,100,512,32,64,0.045536,0.483880,0.234080,46.694700,28.398100,2.576500,16.519400,45.536000,1.034884,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,1000,100,512,64,64,0.053606,0.495460,0.236146,35.263600,35.497900,2.157400,17.534900,53.606100,1.023594,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,1000,100,512,128,64,0.072123,0.499800,0.231700,34.967200,55.012800,3.965700,16.227900,72.123300,1.017277,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,1000,100,512,256,64,0.104589,0.500910,0.250097,36.438400,87.199600,1.835400,16.824400,104.588600,1.015100,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,flat,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,50000,1000,100,512,512,64,0.104489,0.501010,0.000000,35.158200,83.520500,12.612600,19.977600,104.488700,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,50000,1000,100,512,16,64,0.041389,0.464340,0.143370,36.462600,20.063100,4.548800,19.718300,41.388600,1.030262,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,50000,1000,100,512,32,64,0.043518,0.487270,0.161560,37.297300,22.059900,2.981600,20.399800,43.518100,1.030529,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,50000,1000,100,512,64,64,0.049691,0.496940,0.144065,37.595800,28.558300,3.532000,19.771500,49.691200,1.028344,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,50000,1000,100,512,128,64,0.059141,0.500340,0.152635,36.667700,38.488600,5.625900,19.629000,59.140800,1.019384,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,50000,1000,100,512,256,64,0.078816,0.500980,0.138486,69.816400,56.857800,6.368900,20.977900,78.816200,1.016595,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,flat,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,100000,1000,100,512,512,64,1.744912,1.000000,0.000000,40.095300,1730.076900,0.202800,14.632400,1744.912300,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,100000,1000,100,512,16,64,0.177949,0.910340,2.439223,67.902500,162.169300,0.190600,15.589200,177.949300,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,100000,1000,100,512,32,64,0.288103,0.958580,2.293317,43.317200,271.869500,0.188100,16.045400,288.103200,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
