experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
Flat-BaseSplit,PrefetchTopK,1,local_p,100,6.525818,1.000000,2.610114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,2,local_p,100,3.511476,1.000000,4.850703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,4,local_p,100,1.633558,1.000000,10.427011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,8,local_p,100,0.838374,1.000000,20.316861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,16,local_p,100,0.717344,1.000000,23.744714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,32,local_p,100,0.826532,1.000000,20.607947,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,1,local_p,200,7.410794,1.000000,2.298421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,2,local_p,200,3.538246,1.000000,4.814003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,4,local_p,200,1.664518,1.000000,10.233069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,8,local_p,200,0.916740,1.000000,18.580108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,16,local_p,200,0.932458,1.000000,18.266912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,32,local_p,200,0.964674,1.000000,17.656875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,1,local_p,500,8.225122,1.000000,2.070866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,2,local_p,500,3.301146,1.000000,5.159762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
