experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl2048,0,nprobe,76,0.220509,0.94807,21.2402,0,19.4983,0,0,209.554,10.955,0,"windows_oneapi; selector_env=opencl:gpu; build=O2; backend=SYCL; compiler=Intel(R) oneAPI DPC++/C++ Compiler 2024.2.1 (2024.2.1.20240711); selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=9929; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=4; partial_candidates=512; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl2048,0,nprobe,78,0.215822,0.94943,21.7014,0,19.4983,0,0,210.911,4.911,0,"windows_oneapi; selector_env=opencl:gpu; build=O2; backend=SYCL; compiler=Intel(R) oneAPI DPC++/C++ Compiler 2024.2.1 (2024.2.1.20240711); selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=9929; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=4; partial_candidates=512; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl2048,0,nprobe,80,0.215992,0.9506,21.6844,0,19.4983,0,0,209.993,5.999,0,"windows_oneapi; selector_env=opencl:gpu; build=O2; backend=SYCL; compiler=Intel(R) oneAPI DPC++/C++ Compiler 2024.2.1 (2024.2.1.20240711); selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=9929; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=4; partial_candidates=512; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl2048,0,nprobe,82,0.251975,0.95179,18.5878,0,19.4983,0,0,247.217,4.758,0,"windows_oneapi; selector_env=opencl:gpu; build=O2; backend=SYCL; compiler=Intel(R) oneAPI DPC++/C++ Compiler 2024.2.1 (2024.2.1.20240711); selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=9929; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=4; partial_candidates=512; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl2048,0,nprobe,84,0.222126,0.95279,21.0856,0,19.4983,0,0,217.34,4.786,0,"windows_oneapi; selector_env=opencl:gpu; build=O2; backend=SYCL; compiler=Intel(R) oneAPI DPC++/C++ Compiler 2024.2.1 (2024.2.1.20240711); selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=9929; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=4; partial_candidates=512; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl2048,0,nprobe,88,0.229613,0.95481,20.398,0,19.4983,0,0,224.8,4.813,0,"windows_oneapi; selector_env=opencl:gpu; build=O2; backend=SYCL; compiler=Intel(R) oneAPI DPC++/C++ Compiler 2024.2.1 (2024.2.1.20240711); selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=9929; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=4; partial_candidates=512; coarse_host=1; final_topk_host=1; usm_device=1"
