method,platform,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,run_id,latency_ms,recall,index_size_mb,build_time_sec,coarse_ms,rerank_ms,cycles,instructions,cpi,l1_miss_rate,llc_miss_rate
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,5,10.406000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,1,10.017000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,2,9.840000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,3,9.077000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,4,9.156000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,5,9.311000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,1,9.304000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,2,9.208000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,3,9.225000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,4,9.240000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,5,9.066000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,4,heap,1,8.891000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,4,heap,2,9.044000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,4,heap,3,8.846000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,4,heap,4,8.766000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,4,heap,5,8.869000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d8,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,8,heap,1,8.918000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d8,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,8,heap,2,8.534000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d8,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,8,heap,3,8.468000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d8,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,8,heap,4,8.226000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d8,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,8,heap,5,8.316000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d16,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,1,8.693000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d16,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,2,8.734000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d16,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,3,8.832000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d16,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,4,8.724000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d16,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,5,8.672000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-d32,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,32,heap,1,8.688000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
